"id","concession","area","sitecode","stopname","roadname","towards","coordinates"
193,"NDMC","Central","G-05-P","AIIMS","Aurobindo Marg","IIT Gate","28.566638, 77.207890"
194,"NDMC","Central","G-06-P","AIIMS","Aurobindo Marg","IIT Gate","28.567107, 77.208010"
195,"NDMC","Central","G-07-P","Krishi Bhawan","Aurobindo Marg","S J Madarsa","28.567314, 77.207734"
196,"NDMC","Central","I-01-P","Prithvi Raj Crossing","Rajesh Pilot Marg","Lodhi Garden","28.597433, 77.219960"
197,"NDMC","Central","F-12-P","Mandi House","Sikandara Road","CP","28.625490, 77.234222"
198,"DIMTS","East","DTE-001-P","Delhi Sachivalaya","Vikas Marg","ITO","28.627854, 77.252651"
199,"DIMTS","East","DTE-002-P","Delhi Sachivalaya","Vikas Marg","Ram Vihar","28.628301, 77.251297"
200,"DIMTS","East","DTE-003-P","Laxmi Nagar","Vikas Marg","ITO","28.631363, 77.278979"
201,"DIMTS","East","DTE-004-P","Shakar Pur","Vikas Marg","ITO","28.633513, 77.282151"
202,"DIMTS","East","DTE-005-P","Shakar Pur Xing","Vikas Marg","ITO","28.635669, 77.285438"
203,"DIMTS","East","DTE-006-P","Nriman Vihar","Vikas Marg","ITO","28.636821, 77.287573"
204,"DIMTS","East","DTE-007-P","Nriman Vihar","Vikas Marg","Ram Vihar","28.637017, 77.287056"
205,"DIMTS","East","DTE-008-P","Swasthya Vihar","Vikas Marg","Ram Vihar","28.639432, 77.292189"
206,"DIMTS","East","DTE-009-P","New Rajdhani Enclave","Vikas Marg","ITO","28.642126, 77.296238"
207,"DIMTS","East","DTE-010-P","New Rajdhani Enclave","Vikas Marg","Ram Vihar","28.642498, 77.296272"
208,"DIMTS","East","DTE-011-P","Karkari Xing","Vikas Marg","ITO","28.643767, 77.298382"
209,"DIMTS","East","DTE-012-P","Karkari Xing","Vikas Marg","Ram Vihar","28.643191, 77.297181"
